LECTURE NAME,LECTURE CODE,LECTURE LOCATION AND TIME,PROFESSOR,PROFESSOR CONTACT,LECTURE CAREER,LECTURE WEBSITE,LECTURE UNITS OF CREDIT,LECTURE INTRODUCTION
DATA STRUCTURES AND ALGORITHMS,COMP9024,"Mon 18:00 - 21:00 (Weeks:1-3,4-8),Ainsworth G03 (K-J17-G03)/Tue 18:00 - 21:00 (Weeks:1-3,4-8),Ainsworth G03 (K-J17-G03)",DR AJ MAHIDADIA,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9024.html,6 units,None
PRINCIPLES OF REMOTE SENSING,GMAT9600,"Thu 16:00 - 19:00 (Weeks:1-9,10-13),Tyree Energy Technology G16 (K-H6-G16)",APRO L GE,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GMAT9600.html,6 units,None
INTRODUCTION TO STATISTICS AND STATISTICAL COMPUTATIONS,MATH5856,"Mon 17:00 - 20:00 (Weeks:1-6),Red Centre Central Wing 4082 (K-H13-4082)/Thu 17:00 - 20:00 (Weeks:1-6),Red Centre Central Wing 4082 (K-H13-4082)",DR Y FAN,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/MATH5856.html,6 units,None
DIGITAL CIRCUITS AND SYSTEMS,COMP9222,"Tue 09:00 - 11:00 (Weeks:1-9,10-12),Ainsworth G02 (K-J17-G02)/Thu 13:00 - 14:00 (Weeks:1-9,10-12),Ainsworth G02 (K-J17-G02)",APRO OF DIESSEL,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9222.html,6 units,None
EXTENDED DESIGN AND ANALYSIS OF ALGORITHMS,COMP9801,"Tue 16:00 - 17:00 (Weeks:1-5,6-12),Webster Theatre A (K-G15-190)",APRO A IGNJATOVIC,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9801.html,6 units,None
PRINCIPLES OF PROGRAMMING,COMP9021,"Tue 18:00 - 21:00 (Weeks:1-5,6-12),Central Lecture Block 7 (K-E19-104)/Fri 16:00 - 17:00 (Weeks:1-5,6-12),Keith Burrows Theatre (K-J14-G5)",DR EA MARTIN,+61 2 9385 6936,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9021.html,6 units,None
ADVANCED AND PARALLEL ALGORITHMS,COMP4121,"Wed 10:00 - 11:30 (Weeks:1-9,10-12),Macauley Theatre (K-E15-1027)/Fri 09:00 - 10:30 (Weeks:1-9,10-12),Macauley Theatre (K-E15-1027)",APRO A IGNJATOVIC,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP4121.html,6 units,None
MULTIVARIATE ANALYSIS,MATH5855,"Wed 17:00 - 20:00 (Weeks:1-9,10-12),Old Main Building 149 (K-K15-149)",APRO SI PENEV,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/MATH5855.html,6 units,None
FOUNDATIONS OF CONCURRENCY,COMP9151,None,None,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/COMP9151.html,6 units,None
ENGINEERING POSTGRADUATE COURSEWORK RESEARCH SKILLS,GSOE9011,None,None,None,postgraduate,http://www.handbook.unsw.edu.au/postgraduate/courses/current/GSOE9011.html,6 units,None
